AA	volcanic rock [n]
BIALY	type of bagel [n]
BIALYS	BIALY, type of bagel [n]
BIANNUAL	occurring twice a year [adj] / something that happens biannually [n]
BIANNUALLY	BIANNUAL, occurring twice a year [adj]
BIANNUALS	BIANNUAL, occurring twice a year [adj]
BIANNULATE	having two bands, esp of colour [adj]
BIAS	mental tendency, esp prejudice [n] / cause to have a bias [v] / slanting obliquely [adj] / obliquely [adv]
BIASED	BIAS, mental tendency, esp prejudice [n]
BIASEDLY	BIAS, mental tendency, esp prejudice [n]
BIASES	BIAS, mental tendency, esp prejudice [n]
BIASING	BIAS, mental tendency, esp prejudice [n]
BIASINGS	BIAS, mental tendency, esp prejudice [n]
BIASNESS	BIAS, mental tendency, esp prejudice [n]
BIASNESSES	BIAS, mental tendency, esp prejudice [n]
BIASSED	{biased}
BIASSEDLY	{biasedly}
BIASSES	{biases}
BIASSING	{biasing}
BIATCH	biach (slang term for a subordinate or inferior person (not_family)) (not_family)
BIATCHES	BIATCH (not_family) [n]
BIATHLETE	athlete taking part in biathlon [n]
BIATHLETES	BIATHLETE, athlete taking part in biathlon [n]
BIATHLON	contest combining skiing with rifle shooting [n]
BIATHLONS	BIATHLON, contest combining skiing with rifle shooting [n]
BIAURICULAR	biauriculate (having two auricles or earlike parts)
BIAURICULATE	having two auricles or earlike parts [adj]
BIAXAL	biaxial ((esp of a crystal) having two axes)
BIAXIAL	(esp of a crystal) having two axes [adj]
BIAXIALLY	BIAXIAL, (esp of a crystal) having two axes [adj]
BIB	drink [v]
BIBACIOUS	tending to drink to excess [adj]
BIBASIC	with two bases [adj]
BIBATION	drinking to excess [n]
BIBATIONS	BIBATION, drinking to excess [n]
BIBB	wooden support on a mast for the trestletrees [n]
BIBBED	BIB, drink [v]
BIBBER	drinker [n]
BIBBERIES	BIBBERY, drinking to excess (archaic) (archaic) [n]
BIBBERS	BIBBER, drinker [n]
BIBBERY	drinking to excess (archaic) [n]
BIBBING	act of bibbing [n]
BIBBINGS	BIBBING, act of bibbing [n]
BIBBLE	pebble [n]
BIBBLES	BIBBLE, pebble [n]
BIBBS	BIBB, wooden support on a mast for the trestletrees [n]
BIBCOCK	tap with a nozzle bent downwards [n]
BIBCOCKS	BIBCOCK, tap with a nozzle bent downwards [n]
BIBE	(in Newfoundland folklore) spirit whose wailing warns of a coming death [n]
BIBELOT	attractive or curious trinket [n]
BIBELOTS	BIBELOT, attractive or curious trinket [n]
BIBES	BIBE, (in Newfoundland folklore) spirit whose wailing warns of a coming death [n]
BIBFUL	divulge secrets [n]
BIBFULS	BIBFUL, divulge secrets [n]
BIBIMBAP	Korean rice dish [n]
BIBIMBAPS	BIBIMBAP, Korean rice dish [n]
BIBLE	any book containing the sacred writings of a religion [n]
BIBLES	BIBLE, any book containing the sacred writings of a religion [n]
BIBLESS	BIB, drink [v]
BIBLICAL	of, occurring in, or referring to the Bible [adj]
BIBLICALLY	BIBLICAL, of, occurring in, or referring to the Bible [adj]
BIBLICISM	bible-learning [n]
BIBLICISMS	BIBLICISM, bible-learning [n]
BIBLICIST	BIBLICISM, bible-learning [n]
BIBLICISTS	<biblicist>
BIBLIKE	BIB, drink [v]
BIBLIOGRAPHER	BIBLIOGRAPHY, the history, identification, or description of writings or publications [n]
BIBLIOGRAPHERS	BIBLIOGRAPHY, the history, identification, or description of writings or publications [n]
BIBLIOGRAPHIC	BIBLIOGRAPHY, the history, identification, or description of writings or publications [n]
BIBLIOGRAPHICAL	BIBLIOGRAPHY, the history, identification, or description of writings or publications [n]
BIBLIOGRAPHIES	BIBLIOGRAPHY, the history, identification, or description of writings or publications [n]
BIBLIOGRAPHY	the history, identification, or description of writings or publications [n]
BIBLIOLATER	Bible worshipper [n]
BIBLIOLATERS	BIBLIOLATER, Bible worshipper [n]
BIBLIOLATRIES	BIBLIOLATRY, worship of the Bible or other books [n]
BIBLIOLATRIST	bibliolater (Bible worshipper)
BIBLIOLATRISTS	BIBLIOLATRIST [n]
BIBLIOLATROUS	BIBLIOLATRY, worship of the Bible or other books [n]
BIBLIOLATRY	worship of the Bible or other books [n]
BIBLIOLOGICAL	BIBLIOLOGY, study of Bible [n]
BIBLIOLOGIES	BIBLIOLOGY, study of Bible [n]
BIBLIOLOGIST	BIBLIOLOGY, study of Bible [n]
BIBLIOLOGISTS	BIBLIOLOGY, study of Bible [n]
BIBLIOLOGY	study of Bible [n]
BIBLIOMANCIES	BIBLIOMANCY, divination by interpreting a passage picked at random from a book, especially from a religious book such as the Bible [n]
BIBLIOMANCY	divination by interpreting a passage picked at random from a book, especially from a religious book such as the Bible [n]
BIBLIOMANE	book lover [n]
BIBLIOMANES	BIBLIOMANE, book lover [n]
BIBLIOMANIA	a craze for books or reading [n]
BIBLIOMANIAC	BIBLIOMANIA, a craze for books or reading [n]
BIBLIOMANIACAL	BIBLIOMANIA, a craze for books or reading [n]
BIBLIOMANIACS	BIBLIOMANIA, a craze for books or reading [n]
BIBLIOMANIAS	BIBLIOMANIA, a craze for books or reading [n]
BIBLIOMETRIC	relating to statistical analysis of books [adj]
BIBLIOMETRICS	statistical analysis of books [n]
BIBLIOPEGIC	relating to bibliopegy, the art of binding books [adj]
BIBLIOPEGIES	BIBLIOPEGY, art of binding books [n]
BIBLIOPEGIST	BIBLIOPEGY, art of binding books [n]
BIBLIOPEGISTS	BIBLIOPEGY, art of binding books [n]
BIBLIOPEGY	art of binding books [n]
BIBLIOPHAGIST	a voracious reader [n]
BIBLIOPHAGISTS	BIBLIOPHAGIST, a voracious reader [n]
BIBLIOPHIL	bibliophile (a lover of books)
BIBLIOPHILE	a lover of books [n]
BIBLIOPHILES	BIBLIOPHILE, a lover of books [n]
BIBLIOPHILIC	BIBLIOPHILE, a lover of books [n]
BIBLIOPHILIES	BIBLIOPHILY, love of books [n]
BIBLIOPHILISM	BIBLIOPHILE, a lover of books [n]
BIBLIOPHILISMS	BIBLIOPHILE, a lover of books [n]
BIBLIOPHILIST	one who loves books [n]
BIBLIOPHILISTIC	BIBLIOPHILE, a lover of books [n]
BIBLIOPHILISTS	BIBLIOPHILIST, one who loves books [n]
BIBLIOPHILS	BIBLIOPHIL [n]
BIBLIOPHILY	love of books [n]
BIBLIOPHOBIA	aversion to books [n]
BIBLIOPHOBIAS	BIBLIOPHOBIA, aversion to books [n]
BIBLIOPOLE	a bookseller [n]
BIBLIOPOLES	BIBLIOPOLE, a bookseller [n]
BIBLIOPOLIC	BIBLIOPOLE, a bookseller [n]
BIBLIOPOLICAL	relating to a bibliopole, a dealer esp in rare books [adj]
BIBLIOPOLIES	BIBLIOPOLE, a bookseller [n]
BIBLIOPOLIST	bibliopole (a bookseller)
BIBLIOPOLISTS	BIBLIOPOLIST [n]
BIBLIOPOLY	BIBLIOPOLE, a bookseller [n]
BIBLIOTHECA	a collection of books; a list of books [n]
BIBLIOTHECAE	BIBLIOTHECA, a collection of books; a list of books [n]
BIBLIOTHECAL	BIBLIOTHECA, a collection of books; a list of books [n]
BIBLIOTHECARIES	BIBLIOTHECARY, a librarian [n]
BIBLIOTHECARY	a librarian [n]
BIBLIOTHECAS	BIBLIOTHECA, a collection of books; a list of books [n]
BIBLIOTHERAPIES	BIBLIOTHERAPY, therapy through reading [n]
BIBLIOTHERAPY	therapy through reading [n]
BIBLIOTIC	study of books [n]
BIBLIOTICS	study of documents [n]
BIBLIOTIST	one who engages in bibliotics [n]
BIBLIOTISTS	BIBLIOTIST, one who engages in bibliotics [n]
BIBLIST	{biblicist}
BIBLISTS	<biblist>
BIBS	BIB, drink [v]
BIBULOUS	addicted to alcohol [adj]
BIBULOUSLY	BIBULOUS, addicted to alcohol [adj]
BIBULOUSNESS	BIBULOUS, addicted to alcohol [adj]
BIBULOUSNESSES	<bibulousness>
BICAMERAL	(of a legislature) consisting of two chambers [adj]
BICAMERALISM	BICAMERAL, (of a legislature) consisting of two chambers [adj]
BICAMERALISMS	BICAMERAL, (of a legislature) consisting of two chambers [adj]
BICAMERALIST	BICAMERAL, (of a legislature) consisting of two chambers [adj]
BICAMERALISTS	BICAMERAL, (of a legislature) consisting of two chambers [adj]
BICAPSULAR	of plants, having two capsules or one capsule with two chambers [adj]
BICARB	bicarbonate of soda [n]
BICARBONATE	an acid carbonate [n]
BICARBONATES	BICARBONATE, an acid carbonate [n]
BICARBS	BICARB, bicarbonate of soda [n]
BICARPELLARY	of an ovary, having two carpels [adj]
BICAUDAL	having two tails [adj]
BICCIES	BICCY, biscuit [n]
BICCY	biscuit [n]
BICE	medium blue colour [n]
BICENTENARIES	BICENTENARY, happening every two hundred years [adj]
BICENTENARY	happening every two hundred years [adj] / a two hundred year anniversary [n]
BICENTENNIAL	bicentenary (happening every two hundred years)
BICENTENNIALS	BICENTENNIAL [adj]
BICENTRIC	having two centres [adj]
BICEP	biceps (muscle with two origins, esp the muscle that flexes the forearm)
BICEPHALOUS	having two heads [adj]
BICEPS	muscle with two origins, esp the muscle that flexes the forearm [n]
BICEPSES	BICEPS, muscle with two origins, esp the muscle that flexes the forearm [n]
BICES	BICE, medium blue colour [n]
BICHIR	African freshwater fish with an elongated body [n]
BICHIRS	BICHIR, African freshwater fish with an elongated body [n]
BICHLORIDE	a compound in which two atoms of chlorine are combined with another atom or group [n]
BICHLORIDES	BICHLORIDE, a compound in which two atoms of chlorine are combined with another atom or group [n]
BICHORD	having two strings for each note [adj]
BICHROMATE	a salt of dichromic acid [n]
BICHROMATED	BICHROMATE, a salt of dichromic acid [n]
BICHROMATES	BICHROMATE, a salt of dichromic acid [n]
BICHROME	having two colours [adj]
BICIPITAL	having two heads [adj]
BICKER	argue over petty matters [v] / petty squabble [n]
BICKERED	BICKER, argue over petty matters [v]
BICKERER	BICKER, argue over petty matters [v]
BICKERERS	BICKER, argue over petty matters [v]
BICKERING	BICKER, argue over petty matters [v]
BICKERINGS	BICKER, argue over petty matters [v]
BICKERS	BICKER, argue over petty matters [v]
BICKIE	BISCUIT, small flat dry sweet or plain cake [n]
BICKIES	<bickie>
BICOASTAL	relating to both the east and west coasts of the US [adj]
BICOLLATERAL	of a vascular bundle, having two phloem groups to the inside and outside, respectively, of the xylem [adj]
BICOLOR	bicolour (two-coloured)
BICOLORED	bicolour (two-coloured)
BICOLORS	BICOLOR [adj]
BICOLOUR	two-coloured [adj]
BICOLOURED	bicolour (two-coloured)
BICOLOURS	BICOLOUR, two-coloured [adj]
BICOMPONENT	(of a fibre) made of two slightly different polymers [adj] / fibre composed of two compounds [n]
BICOMPONENTS	BICOMPONENT, (of a fibre) made of two slightly different polymers [adj]
BICONCAVE	(of a lens) having concave faces on both sides [adj]
BICONCAVITIES	BICONCAVE, (of a lens) having concave faces on both sides [adj]
BICONCAVITY	BICONCAVE, (of a lens) having concave faces on both sides [adj]
BICONDITIONAL	a relation between two propositions that is true only when both propositions are simultaneously true or false [n]
BICONDITIONALS	BICONDITIONAL, a relation between two propositions that is true only when both propositions are simultaneously true or false [n]
BICONVEX	(of a lens) having convex faces on both sides [adj]
BICONVEXITIES	BICONVEXITY, the state of being biconvex [n]
BICONVEXITY	the state of being biconvex [n]
BICORN	having two horns or hornlike parts [adj]
BICORNATE	bicorn (having two horns or hornlike parts)
BICORNE	bicorn (having two horns or hornlike parts)
BICORNES	BICORNE [adj]
BICORNS	BICORN, having two horns or hornlike parts [adj]
BICORNUATE	bicorn (having two horns or hornlike parts)
BICORPORATE	double-bodied, as the head of a lion to which two bodies are attached [adj]
BICRON	billionth part of a metre [n]
BICRONS	BICRON, billionth part of a metre [n]
BICULTURAL	having two cultures [adj]
BICULTURALISM	BICULTURAL, having two cultures [adj]
BICULTURALISMS	BICULTURAL, having two cultures [adj]
BICURIOUS	showing an interest in bisexuality [adj]
BICUSPID	having two points [adj] / bicuspid tooth [n]
BICUSPIDATE	bicuspid (having two points)
BICUSPIDATES	BICUSPIDATE [adj]
BICUSPIDS	BICUSPID, having two points [adj]
BICYCLE	vehicle with two wheels, one behind the other, pedalled by the rider [n] / ride a bicycle [v]
BICYCLED	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BICYCLER	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BICYCLERS	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BICYCLES	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BICYCLIC	of, forming, or formed by two circles, cycles, etc [adj]
BICYCLICAL	bicyclic (of, forming, or formed by two circles, cycles, etc)
BICYCLING	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BICYCLIST	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BICYCLISTS	BICYCLE, vehicle with two wheels, one behind the other, pedalled by the rider [n]
BID	offer (an amount) in attempting to buy something [v] / offer of a specified amount, as at an auction [n]
BIDARKA	baidarka (narrow hunting boat)
BIDARKAS	BIDARKA [n]
BIDARKEE	bidarka
BIDARKEES	BIDARKEE [n]
BIDDABILITIES	BIDDABLE, obedient [adj]
BIDDABILITY	BIDDABLE, obedient [adj]
BIDDABLE	obedient [adj]
BIDDABLENESS	BIDDABLE, obedient [adj]
BIDDABLENESSES	BIDDABLE, obedient [adj]
BIDDABLY	BIDDABLE, obedient [adj]
BIDDEN	BID, offer (an amount) in attempting to buy something [v]
BIDDER	BID, offer (an amount) in attempting to buy something [v]
BIDDERS	BID, offer (an amount) in attempting to buy something [v]
BIDDIES	BIDDY, woman, esp an old gossipy one [n]
BIDDING	BID, offer (an amount) in attempting to buy something [v]
BIDDINGS	BID, offer (an amount) in attempting to buy something [v]
BIDDY	woman, esp an old gossipy one [n]
BIDE	stay or continue [v]
BIDED	BIDE, stay or continue [v]
BIDENT	instrument with two prongs [n]
BIDENTAL	sacred place where lightning has struck [n]
BIDENTALS	BIDENTAL, sacred place where lightning has struck [n]
BIDENTATE	BIDENT, instrument with two prongs [n]
BIDENTATED	BIDENT, instrument with two prongs [n]
BIDENTS	BIDENT, instrument with two prongs [n]
BIDER	BIDE, stay or continue [v]
BIDERS	BIDE, stay or continue [v]
BIDES	BIDE, stay or continue [v]
BIDET	low basin for washing the genital area [n]
BIDETS	BIDET, low basin for washing the genital area [n]
BIDI	beedi (Indian cigarette)
BIDIALECTAL	speaking two dialects [adj]
BIDIALECTALISM	facility in using two dialects of the same language [n]
BIDIALECTALISMS	BIDIALECTALISM, facility in using two dialects of the same language [n]
BIDING	BIDE, stay or continue [v]
BIDINGS	BIDE, stay or continue [v]
BIDIRECTIONAL	involving two usually opposite directions [adj]
BIDIRECTIONALLY	BIDIRECTIONAL, involving two usually opposite directions [adj]
BIDIS	BIDI [n]
BIDON	oil drum [n]
BIDONS	BIDON, oil drum [n]
BIDONVILLE	shanty town [n]
BIDONVILLES	BIDONVILLE, shanty town [n]
BIDS	BID, offer (an amount) in attempting to buy something [v]
BIELD	shelter [n] / shelter or take shelter [v]
BIELDED	BIELD, shelter [n]
BIELDIER	BIELDY, sheltered [adj]
BIELDIEST	BIELDY, sheltered [adj]
BIELDING	BIELD, shelter [n]
BIELDS	BIELD, shelter [n]
BIELDY	sheltered [adj]
BIEN	well [adv]
BIENNALE	event occurring every two years [n]
BIENNALES	BIENNALE, event occurring every two years [n]
BIENNIA	BIENNIUM, period of two years [n]
BIENNIAL	occurring every two years [adj] / plant that completes its life cycle in two years [n]
BIENNIALLY	BIENNIAL, occurring every two years [adj]
BIENNIALS	BIENNIAL, occurring every two years [adj]
BIENNIUM	period of two years [n]
BIENNIUMS	BIENNIUM, period of two years [n]
BIENSEANCE	good breeding [n]
BIENSEANCES	BIENSEANCE, good breeding [n]
BIER	stand on which a body or coffin rests before burial [n]
BIERKELLER	a beer cellar [n]
BIERKELLERS	BIERKELLER, a beer cellar [n]
BIERS	BIER, stand on which a body or coffin rests before burial [n]
BIERWURST	type of sausage [n]
BIERWURSTS	BIERWURST, type of sausage [n]
BIESTINGS	beestings (first milk secreted by a cow or similar animal immediately after giving birth)
BIFACE	prehistoric stone tool [n]
BIFACES	BIFACE, prehistoric stone tool [n]
BIFACIAL	having two faces or surfaces [adj]
BIFACIALLY	BIFACIAL, having two faces or surfaces [adj]
BIFARIOUS	having parts arranged in two rows on either side of a central axis [adj]
BIFARIOUSLY	BIFARIOUS, having parts arranged in two rows on either side of a central axis [adj]
BIFF	blow with the fist [n] / give (someone) such a blow [v]
BIFFED	BIFF, blow with the fist [n]
BIFFER	someone, such as a sportsperson, who has a reputation for hitting hard [n]
BIFFERS	BIFFER, someone, such as a sportsperson, who has a reputation for hitting hard [n]
BIFFIES	BIFFY, outdoor toilet [n]
BIFFIN	variety of red cooking apple [n]
BIFFING	BIFF, blow with the fist [n]
BIFFINS	BIFFIN, variety of red cooking apple [n]
BIFFO	fighting or aggressive behaviour [n] / aggressive [adj]
BIFFOS	BIFFO, fighting or aggressive behaviour [n]
BIFFS	BIFF, blow with the fist [n]
BIFFY	outdoor toilet [n]
BIFID	divided into two by a cleft in the middle [adj]
BIFIDA	BIFIDUM, type of bacterium [n]
BIFIDITIES	BIFID, divided into two by a cleft in the middle [adj]
BIFIDITY	BIFID, divided into two by a cleft in the middle [adj]
BIFIDLY	BIFID, divided into two by a cleft in the middle [adj]
BIFIDUM	type of bacterium [n]
BIFIDUMS	BIFIDUM, type of bacterium [n]
BIFIDUS	bacterium of the human digestive system [n]
BIFIDUSES	BIFIDUS, bacterium of the human digestive system [n]
BIFILAR	having two parallel threads, as in the suspension of certain measuring instruments [adj]
BIFILARLY	BIFILAR, having two parallel threads, as in the suspension of certain measuring instruments [adj]
BIFLAGELLATE	having two flagella [adj]
BIFLEX	bent or flexed in two places [adj]
BIFOCAL	having two different focuses [adj]
BIFOCALED	wearing bifocals [adj]
BIFOCALS	spectacles with lenses permitting near and distant vision [pl. n]
BIFOLD	something folded in two places [n]
BIFOLDS	BIFOLD, something folded in two places [n]
BIFOLIATE	having only two leaves [adj]
BIFOLIOLATE	having two leaflets [adj]
BIFORATE	having two openings, pores, or perforations [adj]
BIFORKED	two-pronged [adj]
BIFORM	having or combining the characteristics of two forms, as a centaur [adj]
BIFORMED	biform (having or combining the characteristics of two forms, as a centaur)
BIFTAH	bifter (cigarette (slang)) (slang)
BIFTAHS	BIFTAH [n]
BIFTER	cigarette (slang) [n]
BIFTERS	BIFTER, cigarette (slang) (slang) [n]
BIFUNCTIONAL	having two functions [adj]
BIFURCATE	fork into two branches [v] / forked into two branches [adj]
BIFURCATED	BIFURCATE, fork into two branches [v]
BIFURCATES	BIFURCATE, fork into two branches [v]
BIFURCATING	BIFURCATE, fork into two branches [v]
BIFURCATION	BIFURCATE, fork into two branches [v]
BIFURCATIONS	BIFURCATE, fork into two branches [v]
BIG	of considerable size, height, number, or capacity [adj] / on a grand scale [adv] / build [v]
BIGA	chariot drawn by two horses [n]
BIGAE	BIGA, chariot drawn by two horses [n]
BIGAMIES	BIGAMY, crime of marrying a person while still legally married to someone else [n]
BIGAMIST	BIGAMY, crime of marrying a person while still legally married to someone else [n]
BIGAMISTS	BIGAMY, crime of marrying a person while still legally married to someone else [n]
BIGAMOUS	BIGAMY, crime of marrying a person while still legally married to someone else [n]
BIGAMOUSLY	BIGAMY, crime of marrying a person while still legally married to someone else [n]
BIGAMY	crime of marrying a person while still legally married to someone else [n]
BIGARADE	Seville orange [n]
BIGARADES	BIGARADE, Seville orange [n]
BIGAROON	bigarreau (any of several heart-shaped varieties of sweet cherry that have firm flesh)
